date,Size USD,Closed PnL,Sentiment Value,Sentiment Class,Trade Count
2025-01-15,1801599.8900000001,14819.5883,70,Greed,267
2025-01-16,3049692.96,20807.709328,75,Extreme Greed,371
2025-01-17,1110230.46,7006.415608,75,Extreme Greed,238
2025-01-18,2711629.88,443.2330819999997,77,Extreme Greed,651
2025-01-19,9715215.3,87923.799302,77,Extreme Greed,1567
2025-01-20,8287327.01,87277.239173,76,Extreme Greed,1315
2025-01-21,1523729.82,11077.839421,76,Extreme Greed,530
2025-01-22,1778406.43,20524.408057,84,Extreme Greed,832
2025-01-23,3697028.66,101256.24216,75,Extreme Greed,1218
2025-01-24,1611433.45,10602.779738,75,Extreme Greed,874
2025-01-25,1239377.7,-10348.016255999999,75,Extreme Greed,506
2025-01-26,1201173.66,40823.466668,73,Greed,451
2025-01-27,1508028.31,41331.765392,71,Greed,773
2025-01-28,579412.17,17979.613973,72,Greed,498
2025-01-29,1897513.41,23421.01147,72,Greed,910
2025-01-30,3014397.17,23097.471385,70,Greed,1067
2025-01-31,2783411.48,35868.296773,76,Extreme Greed,1016
2025-02-01,1363746.44,32300.205017,68,Greed,634
2025-02-02,5661092.29,162854.759623,60,Greed,1319
2025-02-03,22592901.37,348871.326269,44,Fear,2380
2025-02-04,15678409.27,416876.88812,72,Greed,2512
2025-02-05,8743231.51,56706.235562,54,Neutral,1297
2025-02-06,2818508.87,33803.799733,49,Neutral,1703
2025-02-07,3460263.54,22450.002091,44,Fear,1524
2025-02-08,839734.97,586.703253,44,Fear,575
2025-02-09,2920919.7,150551.829492,46,Neutral,764
2025-02-10,3624958.44,63908.49465,43,Fear,889
2025-02-11,2797544.17,-6093.784817,47,Neutral,848
2025-02-12,4143974.54,19848.635032,46,Neutral,1031
2025-02-13,3199852.21,27829.534238,50,Neutral,1370
2025-02-14,4007103.42,213860.675308,48,Neutral,1655
2025-02-15,1712852.95,45042.92701,50,Neutral,932
2025-02-16,806177.64,2369.478425,54,Neutral,681
2025-02-17,2031044.64,1818.573295,51,Neutral,941
2025-02-18,3371128.68,91204.672403,47,Neutral,1676
2025-02-19,3263930.24,14985.794701,44,Fear,1361
2025-02-20,4628609.29,46008.794102,49,Neutral,2012
2025-02-21,3972159.88,119693.49395,55,Greed,1873
2025-02-22,3175570.2,25278.704178,49,Neutral,686
2025-02-23,1141310.74,10656.934251,50,Neutral,520
2025-02-24,11223619.59,38470.176242,49,Neutral,5616
2025-02-25,19414984.36,204762.177034,25,Fear,6246
2025-02-26,4946958.13,63229.063129,21,Extreme Fear,1176
2025-02-27,1999898.43,-36525.167517,10,Extreme Fear,890
2025-02-28,4123660.77,225628.108748,16,Extreme Fear,1019
2025-03-01,263824.13,10596.108968,20,Extreme Fear,174
2025-03-02,6460848.74,66914.320708,26,Fear,532
2025-03-03,8244590.38,616413.032233,33,Fear,1482
2025-03-04,11124247.15,182075.566585,15,Extreme Fear,2402
2025-03-05,9193654.22,269328.365917,20,Extreme Fear,1660
2025-03-06,6765324.96,16101.125561,25,Fear,760
2025-03-07,19854275.48,150236.061627,34,Fear,2552
2025-03-08,892083.51,24700.773359,28,Fear,529
2025-03-09,10419697.99,19773.457395,27,Fear,1422
